,,Left,Center-left,Center,Center-right,Right
avg_clus,mean,0.5638353114423187,0.5481060665905081,0.5630153887327252,0.5733518857266166,0.5771129655634665
avg_clus,sem,0.020577138190557287,0.041299811193296475,0.008027115985746888,0.00872310812893434,0.013674413500280553
avg_clus_rand,mean,0.21380121950291822,0.20495508764735262,0.174261951800175,0.2735239975658897,0.2821332075379716
avg_clus_rand,sem,0.014089317935504308,0.01986970996175272,0.002915506734047878,0.015413931776598291,0.012558962161145146
density,mean,0.08475247524752476,0.07399339933993399,0.050825082508250824,0.14105610561056106,0.14924092409240927
density,sem,0.012279356783348896,0.023568331287837842,0.0031399999715554573,0.015186252669694618,0.011464835418609839
density_rand,mean,0.08475247524752479,0.07399339933993404,0.05082508250825085,0.14105610561056112,0.1492409240924093
density_rand,sem,0.012279356783348905,0.023568331287837863,0.0031399999715554616,0.015186252669694601,0.011464835418609832
edges,mean,428.0,373.6666666666667,256.6666666666667,712.3333333333334,753.6666666666666
edges,sem,62.01075175591192,119.02007300358113,15.856999856355062,76.69057598195783,57.8974188639797
edges_rand,mean,428.0,373.6666666666667,256.6666666666667,712.3333333333334,753.6666666666666
edges_rand,sem,62.01075175591192,119.02007300358113,15.856999856355062,76.69057598195783,57.8974188639797
nodes,mean,101.0,101.0,101.0,101.0,101.0
nodes,sem,0.0,0.0,0.0,0.0,0.0
nodes_rand,mean,101.0,101.0,101.0,101.0,101.0
nodes_rand,sem,0.0,0.0,0.0,0.0,0.0
trans,mean,0.2783733924276472,0.21386523928098564,0.11717582304877427,0.4529159364067182,0.428614121893319
trans,sem,0.04146190154566698,0.08174458654080168,0.018987183477549123,0.022816430485954033,0.02752976930809562
trans_density_norm,mean,3.3259109678277987,2.7723856988912785,2.275589607399506,3.299400947458555,2.88119113452143
trans_density_norm,sem,0.3697301998926801,0.2285925331332078,0.2424667290237368,0.44128407394980534,0.11728625053142765
trans_rand,mean,0.19956367200230277,0.1643970206357915,0.11582212842353312,0.29903781552789227,0.29239164156431924
trans_rand,sem,0.018589878041478797,0.037092408601203594,0.012320134120672385,0.011256442707979458,0.018269870553532085
trans_rand_norm,mean,1.385339705973408,1.213717824221875,0.9985601186189378,1.5161623571429532,1.4655548125737778
trans_rand_norm,sem,0.11560528770845126,0.19454852173223902,0.06173864372135639,0.07131260505279471,0.004835582904020675
