,,0,1,2
follow_back,Left,0.5476190476190477,0.4661016949152542,0.45901639344262296
follow_back,Center-left,0.5266666666666666,0.5641025641025641,0.7307692307692307
follow_back,Center,0.25,0.4166666666666667,0.6341463414634146
follow_back,Center-right,0.6195652173913043,0.6073298429319371,0.5602409638554217
follow_back,Right,0.6213592233009708,0.6737967914438503,0.564935064935065
friend_follow,Left,0.3942857142857143,0.3416149068322981,0.224
friend_follow,Center-left,0.37264150943396224,0.2972972972972973,0.19387755102040816
friend_follow,Center,0.09259259259259259,0.13636363636363635,0.23008849557522124
friend_follow,Center-right,0.3825503355704698,0.47346938775510206,0.42272727272727273
friend_follow,Right,0.4620938628158845,0.4921875,0.4264705882352941
