shorterner,domain
youtu.be,youtube.com
youtube.com,youtube.com
wapo.st,washingtonpost.com
bos.gl,bostonglobe.com
abcn.ws,abcnews.go.com
apple.co,apple.news
reut.rs,reuters.com
bloom.bg,bloomberg.com
crp.org,opensecrets.org
nbcnews.to,nbcnews.com
nyti.ms,nytimes.com
pewrsr.ch,pewresearch.org
politi.co,politico.com
applepodcasts.com,search.itunes.apple.com
cbsloc.al,cbslocal.com
chng.it,change.org
cnn.it,cnn.com
huffp.st,huffpost.com
amazon.com,amazon.com
gofundme.com,gofundme.com
bet.us,bet.com
en.wikipedia.org,en.wikipedia.org
on.msnbc.com,msnbc.com
on.wsj.com,wsj.com
